ds,yhat,yhat_lower,yhat_upper
2025-09-18,5305853.0412588995,4723633.316292297,5875051.856159215
2025-09-19,5241894.45289886,4672984.46723067,5810813.150548998
2025-09-20,5749149.868068861,5185073.326426685,6324124.690350377
2025-09-21,5930413.592732459,5353803.333457308,6493013.369141682
2025-09-22,5167889.757170388,4622610.26796521,5752989.534685467
2025-09-23,5072654.93102688,4449017.952884022,5627257.543398558
2025-09-24,5143584.859212069,4570341.079206173,5702383.101601887
2025-09-25,5008423.31670093,4483721.769444191,5594964.472869721
2025-09-26,4903419.333846279,4336110.494433923,5447082.066726995
2025-09-27,5374654.336854573,4816709.681687302,5963335.290382153
2025-09-28,5525468.5099832015,4978414.526620138,6112282.615408551
2025-09-29,4738496.086067032,4152841.7994773057,5273176.06772268
2025-09-30,4625119.98573162,4112688.7408983954,5160984.730261007
2025-10-01,4684393.483451911,4111421.1134772026,5272713.607872279
2025-10-02,4544107.002392457,3953612.636773706,5121153.030123986
2025-10-03,4440426.318161754,3863187.7252207967,5011866.955646511
2025-10-04,4919223.668758581,4334179.378203612,5552036.407653436
2025-10-05,5083510.955327214,4562872.392209595,5663767.237412469
2025-10-06,4315484.547284924,3754615.7028069003,4855809.643802508
2025-10-07,4225991.853150157,3643768.1046074675,4794501.761552649
2025-10-08,4313467.01733574,3759390.7811752814,4856616.067904071
2025-10-09,4205013.4763354985,3587038.0411907816,4749910.929623022
2025-10-10,4136059.2453917046,3568890.4413163457,4700575.04052033
2025-10-11,4651705.993961175,4091037.979174176,5199042.045565057
2025-10-12,4854180.637410447,4311731.408202805,5445702.971639551
2025-10-13,4124898.495157344,3590764.6140860924,4685284.569981175
2025-10-14,4073947.719159359,3485141.161489229,4622699.359908284
2025-10-15,4199041.913450868,3617010.5778091033,4805491.8852197705
2025-10-16,4126618.267942969,3577970.8699721117,4704456.928693547
2025-10-17,4091506.7071077256,3484351.957253158,4678873.84656209
2025-10-18,4638290.790728198,4100627.3398763346,5201462.101124005
2025-10-19,4868768.830266312,4337165.188567766,5407670.67389324
2025-10-20,4164024.0710031386,3580683.9434319646,4688724.037175554
2025-10-21,4133913.5121872826,3563656.8896816154,4708844.2449504025
2025-10-22,4276022.225539747,3675413.015338803,4800448.611575529
2025-10-23,4216760.507094398,3591561.8985463204,4806131.056261374
2025-10-24,4191029.4457579427,3611893.1457521524,4753032.544931053
2025-10-25,4743575.796561664,4221010.865521685,5307868.725521155
2025-10-26,4976444.836045692,4399035.5789841935,5553236.78306967
2025-10-27,4271040.320428116,3686692.3825909137,4812615.842764907
2025-10-28,4237601.437793381,3661293.0511165485,4758177.028978567
